"left daughter","right daughter","split var","split point","status","prediction"
2,3,"queignon.120",2.08389426,1,NA
4,5,"varacc.120",0.842450698,1,NA
6,7,"maxsp.120",7.625,1,NA
8,9,"kurtseqacc.120",13.26986433,1,NA
10,11,"skewseqacc.120",4.196353616,1,NA
12,13,"queigacc.120",0.691687294,1,NA
14,15,"mediansp.120",11.4375,1,NA
16,17,"maxacc.30",2.2959463,1,NA
18,19,"qutwesp.120",0.125,1,NA
20,21,"queignon.120",0.977813036,1,NA
22,23,"entseqacc.120",0.933285739,1,NA
24,25,"maxseqsp.120",1.875,1,NA
26,27,"entseqacc.120",0.811668376,1,NA
28,29,"medianacc.120",0.1583945025,1,NA
30,31,"minacc.120",0.0046660265,1,NA
32,33,"iqracc.30",0.034666885,1,NA
34,35,"queigacc.120",1.4397329,1,NA
36,37,"varsp.120",0.042037519,1,NA
38,39,"mediannon.30",0.8125,1,NA
40,41,"queigseqacc.120",0.835706964,1,NA
42,43,"queigacc.120",1.34703306,1,NA
0,0,NA,0,-1,"Walk"
44,45,"medianacc.120",0.09854644,1,NA
46,47,"queigacc.30",0.987596706,1,NA
48,49,"meanseqsp.30",0.311760414,1,NA
50,51,"iqrnon.120",0.125,1,NA
52,53,"qutweacc.120",0.245869493,1,NA
54,55,"qutwesp.120",0.1,1,NA
56,57,"qutwenon.120",4.1569428,1,NA
58,59,"varseqacc.120",0.0362824055,1,NA
60,61,"varsp.30",0.0010416665,1,NA
62,63,"minseqacc.30",9.97e-06,1,NA
64,65,"queignon.30",0.05,1,NA
66,67,"minseqacc.120",8.447e-05,1,NA
0,0,NA,0,-1,"Wait"
68,69,"medianseqacc.30",0.0528011925,1,NA
70,71,"entseqacc.30",0.5462849915,1,NA
0,0,NA,0,-1,"Rail"
72,73,"qutwenon.30",1.875,1,NA
74,75,"skewseqacc.30",1.594363752,1,NA
76,77,"varseqacc.120",0.460969071,1,NA
78,79,"medianseqacc.30",0.107858587,1,NA
80,81,"iqrnon.30",1.092442805,1,NA
82,83,"medianacc.30",0.447040035,1,NA
84,85,"meanseqacc.120",0.8633881445,1,NA
86,87,"maxseqacc.120",2.822944,1,NA
0,0,NA,0,-1,"Bicycle"
88,89,"meanseqacc.120",0.0671500285,1,NA
90,91,"medianseqacc.30",0.0686832425,1,NA
92,93,"meansp.120",2.2864583335,1,NA
94,95,"varacc.120",0.0669968785,1,NA
96,97,"minacc.120",0.0179307915,1,NA
98,99,"queigseqacc.30",0.340053085,1,NA
100,101,"meansp.120",4.1010416665,1,NA
102,103,"meanseqacc.120",0.1281562385,1,NA
104,105,"iqrsp.120",11.8125,1,NA
106,107,"iqrnon.120",4.810825725,1,NA
